Subject	PC1	PC2
P61	-2.807758066297436	0.4256676222439316
P62	-0.5227902075564774	-1.5627636429692284
P63	1.4713904211625635	0.02834736129143856
P64	-1.9319295868436588	-1.9011454447957368
P65	-0.8295024461160084	0.3078918147034379
P66	0.4376582073532468	-1.592798658111532
P67	1.9474025143418623	0.5386916965889853
P68	-1.4907174544290385	-0.10892942192484509
P69	1.8703755800833743	2.3173129066044345
P70	2.104012699696654	-0.45634080781768505
P71	-0.13600579288225875	-2.7083528850657426
P72	1.9974054131657355	1.6725837656938558
P73	0.5762153402993507	-0.7300853194103247
P74	-2.82668579418056	2.8634095864915934
P75	0.8902431174811039	-1.446217885409423
P76	0.24358288088575997	1.20747916349536
P77	-0.9186456723408425	-0.48230884431866583
P78	-3.1019046049332575	1.5699446254560159
P79	0.38374073554476007	-1.3732595246164865
P80	2.6439127155651225	1.4308738918706134
