	PC1	PC2
DF_start	0.4330128246089164	-0.08925507089446448
DF_end	0.48954382560602494	0.2203520627997442
Delta_DF	0.22362152427739773	0.5763946554844885
Slope_DF	0.22822738800118328	0.5805410669341696
SF_start	-0.2023363036242206	-0.0016154681098097218
SF_end	0.11274241230357639	-0.2238787328898441
Delta_SF	0.45623668523409866	-0.3296635311085743
Slope_SF	0.45711012407459917	-0.33973141001506685
