Subject,PC1,PC2
P61,-1.4424849547187095,-2.4955569955522234
P62,1.3464501289351654,0.09432089686274603
P63,0.4166267120252896,1.0853006627928663
P64,1.2045624518417624,-0.46270445904909907
P65,-1.0288757500811616,-2.03580453053351
P66,1.482033694349363,-0.11173699805318049
P67,0.11348981945622365,1.6964004933668637
P68,-0.2709538645203096,-1.6146255977440864
P69,-1.4675654801312035,2.0406505530336543
P70,1.0790118868657586,0.542007470730218
P71,2.564645917447974,-1.177715778130453
P72,-0.9886583148693955,2.725275323907435
P73,0.7252616596634389,-0.38746624155803266
P74,-3.03628629649698,-0.6027718137605815
P75,1.3006895371922325,0.020907770789342826
P76,-1.1614374870588906,1.231905206388218
P77,0.47596539452530867,-0.7509105693290093
P78,-2.306732438823739,-1.4774318437810794
P79,1.429829515543325,-0.27894648284725176
P80,-0.43557213114545085,1.958902932467163
